text,href
"Diversity, Equity, and Inclusion, CERT",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=7031&returnto=2847
"Educational Leadership, CERT",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=7004&returnto=2847
"Health IT Architectures, CERT",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=7021&returnto=2847
"IT Workforce Leadership, CERT",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=7022&returnto=2847
"Monitoring and Evaluation, CERT",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=6993&returnto=2847
"Project Management, CERT",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=7013&returnto=2847
"Public Relations, CERT",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=7029&returnto=2847
"Refugees, Forced Migration and Belonging, CERT",https://catalog.clarku.edu/preview_program.php?catoid=34&poid=6994&returnto=2847
Certificate of Advanced Graduate Study (CAGS),https://catalog.clarku.edu/preview_program.php?catoid=34&poid=6969&returnto=2847
Management Fellows Program (Sch of Bus),https://catalog.clarku.edu/preview_program.php?catoid=34&poid=6952&returnto=2847
3/2 Engineering Program,https://catalog.clarku.edu/preview_program.php?catoid=34&poid=6841&returnto=2847
English as a Second Language (ESL),https://catalog.clarku.edu/preview_program.php?catoid=34&poid=6959&returnto=2847

